Subject,RMC,RCC,CCC,IPR,CCL,PLC,Attack Surface,
,,,,,,,Regression,Classification
OpenChord,3.89,41.12,0.72,0.1,0.18,0.13,0.007732188,TRUE
Thrift,0.5,20.26,0.44,0.27,0.23,0.16,0.002344225,FALSE
xSocket,0.33,35.27,0.61,0.14,0.3,0.18,0.001462147,FALSE
Zookeeper,,,,,,,,
Integration,13,84.5,0.49,0.09,0.26,0.31,0.005436724,TRUE
Zookeeper,,,,,,,,
Load,815.17,83,0.76,0.19,0.12,0.33,0.005436724,TRUE
Zookeeper,,,,,,,,
System,71.67,26.67,0.72,0.32,0.23,0.23,0.005436724,TRUE
Voldemort,25.5,119,0.79,0.11,0.24,0.36,0.002671638,FALSE
Netty,0.67,148.04,0.7,0.43,0.19,0.12,0.000478823,FALSE
Derby,1,49.7,1.25,0.28,0.28,0.06,0.000302167,FALSE
