0,1,2,3,4,6,7
Maintainability,Correctness,Stability,AttackSurface,,,
Maintainability,Stability,Performance,PathCount,PathLength,Vulnerableness,
CCL,Understandability,Performance,PathCount,,,
RMC,RCC,CCL,AttackSurface,Vulnerableness,,
RMC,RCC,PathCount,PathLength,AttackSurface,Vulnerableness,
RMC,AttackSurface,Vulnerableness,,,,
RMC,RCC,Correctness,Understandability,PathCount,,
RCC,IPR,PathLength,,,,
CCC,CCL,Correctness,,,,
CCC,IPR,Vulnerableness,,,,
CCC,IPR,Maintainability,,Stability,Vulnerableness,
Correctness,Stability,,,,,
Maintainability,Correctness,,,,,
